gene_name,glu1,glu2,glu6,glu7,glu11,glu12,gly1,gly2,gly6,gly7,gly11,gly12
ybaX,4.818666763,3.821034916,3.753434699,3.502182927,4.054124344,3.666791667,4.385234356,4.481454587,3.314863079,3.749023528,4.421078721,4.021274137
ybaY,1.279535868,0.813307996,0.626040423,1.07954682,2.035469178,1.202582163,2.915514321,2.385922444,1.335513986,2.03916712,1.341744444,-1.14456266
ybaZ,1.872409522,1.469254964,3.514379414,2.515506793,3.275092125,2.753401269,3.249685166,3.317609911,3.230082065,3.474683089,2.585564792,2.231895253
ybbA,3.020056016,3.529333577,3.059257218,3.525772893,2.667342007,3.142459379,2.669780771,1.909857469,2.089747114,2.690038402,2.096977156,1.458599818
ybbB,2.024617477,2.030199546,1.656951679,1.707779131,2.249568588,2.704682599,0.639427359,2.167844039,-1.14456266,0.778581957,-1.14456266,0.804561649
ybbC,0.169307087,0.813307996,1.06506632,1.429612449,1.39479921,2.769278728,2.133511042,0.57980147,-1.14456266,1.142112545,0.400375956,0.804561649
ybbD,-1.14456266,-1.14456266,-1.14456266,-1.14456266,-1.14456266,-0.563826259,-1.14456266,-1.14456266,-1.14456266,-1.14456266,-1.14456266,-1.14456266
ybbF,3.22043646,4.035308594,3.145844317,4.049514254,4.197188415,4.444278494,2.988868548,3.026504243,3.230082065,2.885061637,3.478994982,2.231895253
ybbJ,1.279535868,2.030199546,1.977337143,1.429612449,2.416015583,1.101997975,2.478808946,1.909857469,1.880704813,2.581544051,2.440603361,2.231895253
ybbK,4.151299554,4.035308594,3.859553062,3.982953598,4.4750279,3.856507875,5.283290913,4.79658715,4.11494029,4.621340262,4.849904581,4.743771959
ybbL,1.701594873,1.777799163,1.531325051,1.429612449,2.435514444,2.017385007,1.481501414,0.915725688,0.950201861,1.863384156,2.096977156,-1.14456266
ybbN,5.629921676,5.367207619,4.539892996,5.130482353,5.683010356,4.956935999,4.489712588,5.101612473,4.59278618,5.103533051,4.761658349,4.579816561
ybbO,4.334950048,4.473382622,3.546525499,4.033160204,4.858942198,4.424442067,3.86964614,3.727500311,3.139979739,3.979351652,3.238206047,2.92436909
ybbP,4.689795299,4.144808978,3.341894942,4.159071813,3.823534143,3.935754182,3.789992042,3.467600001,3.314863079,3.936139379,4.16990457,3.250214154
ybbS,0.169307087,-1.14456266,-1.14456266,-0.233394293,0.104113823,-0.563826259,1.481501414,0.10884003,-1.14456266,-1.14456266,0.955758142,-1.14456266
